pert,target_var,pct_change,status,knockdown_ok
CYFIP1,CYFIP1,-85.64408874511719,ok,True
CYP2A13,,,target_not_measured,False
CYP4F11,,,target_not_measured,False
CYS1,,,target_not_measured,False
DAD1,DAD1,-92.59786987304688,ok,True
DAP3,DAP3,-92.51435852050781,ok,True
DARS,DARS,-91.45944213867188,ok,True
DBF4,DBF4,-80.5131607055664,ok,True
DBR1,DBR1,-93.31913757324219,ok,True
DCAF6,DCAF6,-67.63131713867188,ok,True
DCLRE1B,DCLRE1B,-77.69229125976562,ok,True
DCTN1,DCTN1,-90.31069946289062,ok,True
DCTN2,DCTN2,-92.71196746826172,ok,True
DCTN3,DCTN3,-91.26162719726562,ok,True
DCTN4,DCTN4,-84.32141876220703,ok,True
DCTN5,DCTN5,-85.85323333740234,ok,True
DCTN6,DCTN6,-80.59359741210938,ok,True
DCUN1D5,DCUN1D5,-87.88162994384766,ok,True
DDB1,DDB1,-51.3702392578125,ok,True
DDN,,,target_not_measured,False
DDOST,DDOST,-87.7872543334961,ok,True
DDX1,DDX1,-93.0323715209961,ok,True
DDX5,DDX5,-91.00296783447266,ok,True
DDX6,DDX6,-76.86815643310547,ok,True
DDX10,DDX10,-90.93717956542969,ok,True
DDX11,DDX11,-83.11004638671875,ok,True
DDX18,DDX18,-88.85335540771484,ok,True
DDX19A,DDX19A,-85.39607238769531,ok,True
DDX19B,DDX19B,-57.33292770385742,ok,True
DDX20,DDX20,-91.9610824584961,ok,True
DDX21,DDX21,-91.13628387451172,ok,True
DDX23,DDX23,-79.30419921875,ok,True
DDX24,DDX24,-83.97392272949219,ok,True
DDX27,DDX27,-84.2916488647461,ok,True
DDX41,DDX41,-79.83798217773438,ok,True
DDX42,DDX42,-73.21141052246094,ok,True
DDX46,DDX46,-73.46357727050781,ok,True
DDX47,,,target_not_measured,False
DDX49,DDX49,-89.00609588623047,ok,True
DDX51,DDX51,-73.98834228515625,ok,True
DDX52,DDX52,-92.75460052490234,ok,True
DDX54,DDX54,-67.73152160644531,ok,True
DDX55,DDX55,-89.63874053955078,ok,True
DDX56,DDX56,-82.97195434570312,ok,True
DDX59,DDX59,-92.31583404541016,ok,True
DENR,DENR,-93.29721069335938,ok,True
DERL2,DERL2,-96.88880157470703,ok,True
DHDDS,DHDDS,-96.22156524658203,ok,True
DHFR,DHFR,-16.320676803588867,ok,False
DHODH,DHODH,-68.83948516845703,ok,True
DHPS,DHPS,-76.48493194580078,ok,True
DHX8,DHX8,-36.43071746826172,ok,True
DHX9,DHX9,-73.21269226074219,ok,True
DHX15,DHX15,-89.6573715209961,ok,True
DHX16,DHX16,-84.75525665283203,ok,True
DHX33,DHX33,-79.64707946777344,ok,True
DHX36,DHX36,-96.26869201660156,ok,True
DHX37,DHX37,-82.96598815917969,ok,True
DICER1,DICER1,-95.23822784423828,ok,True
DIMT1,DIMT1,-87.92728424072266,ok,True
DIS3,DIS3,-94.64213562011719,ok,True
DKC1,DKC1,-91.25121307373047,ok,True
DLD,DLD,-93.13088989257812,ok,True
DMAP1,DMAP1,-77.18907165527344,ok,True
DMRTA2,,,target_not_measured,False
DNAJA1,DNAJA1,-78.43737030029297,ok,True
DNAJA3,DNAJA3,-92.77915954589844,ok,True
DNAJC8,DNAJC8,-96.09709167480469,ok,True
DNAJC9,DNAJC9,-90.66879272460938,ok,True
DNAJC11,DNAJC11,-78.61003112792969,ok,True
DNAJC17,DNAJC17,-82.20854187011719,ok,True
DNAJC19,DNAJC19,-83.92176818847656,ok,True
DNLZ,,,target_not_measured,False
DNM1,DNM1,-52.10130310058594,ok,True
DNM1L,DNM1L,-87.25645446777344,ok,True
DNMT1,DNMT1,-92.84072875976562,ok,True
DNTTIP2,DNTTIP2,-92.17981719970703,ok,True
DOHH,DOHH,-97.01371765136719,ok,True
DOLK,DOLK,-95.22659301757812,ok,True
DONSON,DONSON,-85.9708023071289,ok,True
DPAGT1,DPAGT1,-94.58763885498047,ok,True
DPH1,,,target_not_measured,False
DPH2,DPH2,-96.90768432617188,ok,True
DPH3,DPH3,-90.57098388671875,ok,True
DPH6,DPH6,-94.32335662841797,ok,True
DPM2,DPM2,-85.9625244140625,ok,True
DPPA2,,,target_not_measured,False
DPY19L2,,,target_not_measured,False
DR1,DR1,-80.24618530273438,ok,True
DRAP1,DRAP1,-89.18438720703125,ok,True
DRG1,DRG1,-89.90068054199219,ok,True
DSN1,DSN1,-89.2506332397461,ok,True
DTL,DTL,-52.53508758544922,ok,True
DTYMK,DTYMK,-76.5355453491211,ok,True
DUT,DUT,-95.97843170166016,ok,True
DYNC1H1,DYNC1H1,-79.16651153564453,ok,True
DYNC1I2,DYNC1I2,-71.8545150756836,ok,True
DYNLL1,DYNLL1,-88.2289810180664,ok,True
DYNLRB1,DYNLRB1,-50.7718505859375,ok,True
E2F6,E2F6,-88.49797058105469,ok,True
E4F1,E4F1,-92.15898895263672,ok,True
EARS2,EARS2,-91.05062866210938,ok,True
EBNA1BP2,EBNA1BP2,-88.6458511352539,ok,True
